"Type";"Message";"Object";"Transformation";"Produktion";"Time"
"INFO";"Starte Produktion.";"";"IO";"Lean docu";"20.04.2021 08:56:39"
"INFO";"Exportiere Daten.";"";"IO";"Lean docu";"20.04.2021 08:56:39"
"DEBUG";"Dauer des Datenexports: 00:01:58";"";"IO";"Lean docu";"20.04.2021 08:58:38"
"DEBUG";"Dauer des Datenexports: 00:02:08";"";"IO";"Lean docu";"20.04.2021 09:00:47"
"INFO";"Starte publikationsspezifische Verarbeitung.";"";"IO";"Lean docu";"20.04.2021 09:01:10"
"INFO";"Get variant context in Sprache en-US.";"";"IO";"Lean docu";"20.04.2021 09:01:13"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:01";"";"IO";"Lean docu";"20.04.2021 09:01:14"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"20.04.2021 09:01:14"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"20.04.2021 09:01:14"
"INFO";"Html5_ConvertEps";"";"IO";"Lean docu";"20.04.2021 09:01:14"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:01";"";"IO";"Lean docu";"20.04.2021 09:01:16"
"INFO";"Get variant context in Sprache de-DE.";"";"IO";"Lean docu";"20.04.2021 09:01:17"
"DEBUG";"Dauer der Basis-Verarbeitung: 00:00:01";"";"IO";"Lean docu";"20.04.2021 09:01:18"
"INFO";"Dokument veröffentlichen.";"";"IO";"Lean docu";"20.04.2021 09:01:18"
"WARNING";"Fehlender Datenwert: documentPublishOrderNumber";"";"IO";"Lean docu";"20.04.2021 09:01:18"
"INFO";"Html5_ConvertEps";"";"IO";"Lean docu";"20.04.2021 09:01:18"
"DEBUG";"Dauer der publikationsspezifischen Verarbeitung: 00:00:01";"";"IO";"Lean docu";"20.04.2021 09:01:19"
"INFO";"Publikationsspezifische Verarbeitung erfolgreich durchgeführt.";"";"IO";"Lean docu";"20.04.2021 09:01:19"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"20.04.2021 09:01:19"
"INFO";"Lösche temporäre Dateien.";"";"IO";"Lean docu";"20.04.2021 09:01:19"
"INFO";"Produktion erfolgreich durchgeführt.";"";"IO";"Lean docu";"20.04.2021 09:01:19"
"DEBUG";"Gesamtdauer der Publikation: 00:04:40";"";"IO";"Lean docu";"20.04.2021 09:01:19"
